material_name,category,fresnel_model,ndf_model,geometry_model,roughness,alpha,kd,ks,diffuse_r,diffuse_g,diffuse_b,f0_r,f0_g,f0_b,eta_r,eta_g,eta_b,kappa_r,kappa_g,kappa_b,source
Aluminium,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.911942,0.913472,0.919256,1.350000,0.970000,0.620000,7.470000,6.400000,5.300000,https://balyberdin.com/tools/ior-list/
Chromium,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.663614,0.651295,0.663614,2.020000,2.790000,2.020000,3.860000,4.200000,3.860000,https://balyberdin.com/tools/ior-list/
Gold,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.944991,0.777156,0.373700,0.180000,0.420000,1.370000,3.420000,2.350000,1.770000,https://balyberdin.com/tools/ior-list/
Silver,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.961883,0.947820,0.919586,0.160000,0.150000,0.140000,3.930000,3.190000,2.380000,https://balyberdin.com/tools/ior-list/
Copper,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.926255,0.719206,0.503129,0.270000,0.680000,1.320000,3.610000,2.620000,2.290000,https://balyberdin.com/tools/ior-list/
Iron,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.531329,0.512143,0.496322,2.910000,2.950000,2.580000,3.090000,2.930000,2.770000,https://balyberdin.com/tools/ior-list/
Platinum,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.679000,0.643298,0.588480,2.380000,2.080000,1.850000,4.270000,3.720000,3.140000,https://balyberdin.com/tools/ior-list/
Brass,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.887824,0.788292,0.435014,0.440000,0.530000,1.090000,3.690000,2.770000,1.830000,https://balyberdin.com/tools/ior-list/
Titanium,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.615489,0.581833,0.544508,2.740000,2.540000,2.270000,3.810000,3.430000,3.040000,https://balyberdin.com/tools/ior-list/
Nickel,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.701472,0.644951,0.570093,1.990000,1.920000,1.730000,4.210000,3.620000,2.940000,https://balyberdin.com/tools/ior-list/
Lead,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.632484,0.625937,0.641479,1.910000,1.830000,1.440000,3.510000,3.400000,3.180000,https://balyberdin.com/tools/ior-list/
Mercury,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.781764,0.779556,0.778511,2.070000,1.550000,1.060000,5.340000,4.650000,3.860000,https://balyberdin.com/tools/ior-list/
Tungsten,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.504455,0.497813,0.478498,3.650000,3.510000,3.310000,2.800000,2.760000,2.610000,https://balyberdin.com/tools/ior-list/
Magnesium,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.954636,0.952844,0.950365,0.440000,0.320000,0.220000,6.060000,5.040000,4.030000,https://balyberdin.com/tools/ior-list/
Cobalt,metal,1,0,0,0.25,0.0625,0.0,1.0,0.0,0.0,0.0,0.685340,0.656831,0.617593,2.240000,2.050000,1.740000,4.240000,3.820000,3.270000,https://balyberdin.com/tools/ior-list/
Quartz,dielectric,0,0,0,0.40,0.1600,1.0,0.0,0.5,0.5,0.5,0.045594,0.045594,0.045594,1.543000,1.543000,1.543000,0.000000,0.000000,0.000000,https://seblagarde.wordpress.com/2011/08/17/feeding-a-physically-based-lighting-mode/
Ice,dielectric,0,0,0,0.40,0.1600,1.0,0.0,0.5,0.5,0.5,0.017909,0.017909,0.017909,1.309000,1.309000,1.309000,0.000000,0.000000,0.000000,https://seblagarde.wordpress.com/2011/08/17/feeding-a-physically-based-lighting-mode/
Water,dielectric,0,0,0,0.40,0.1600,1.0,0.0,0.5,0.5,0.5,0.020373,0.020373,0.020373,1.333000,1.333000,1.333000,0.000000,0.000000,0.000000,https://seblagarde.wordpress.com/2011/08/17/feeding-a-physically-based-lighting-mode/
Alcohol,dielectric,0,0,0,0.40,0.1600,1.0,0.0,0.5,0.5,0.5,0.019955,0.019955,0.019955,1.329000,1.329000,1.329000,0.000000,0.000000,0.000000,https://seblagarde.wordpress.com/2011/08/17/feeding-a-physically-based-lighting-mode/
